Pincode,Place Name,Latitude,Longitude
855126,Tulsia,24.9833,81.0583
855121,Balarampur,24.9833,81.0583
855119,Terhagachi,24.9833,81.0583
855117,Taiyabpur,24.9833,81.0583
855116,Thakurganj,24.9833,81.0583
855113,Salmari,24.9833,81.0583
855106,Galgalia,24.9833,81.0583
855101,Bahadurganj,24.9833,81.0583
854364,Ganeshpur (Purnea),24.9833,81.0583
854357,Amhara (Pornia),24.9833,81.0583
854347,Rampur(Purnea),24.9833,81.0583
854339,Balua Bazar,23.55,74.8667
854336,Nawabganj,23.55,74.8667
854335,Narpalganj,23.55,74.8667
854333,Madanpur Purnia,23.55,74.8667
854330,Kasba,23.55,74.8667
854328,Jogbani,26.4167,87.25
854327,Jalalgarh,26.4167,87.25
854326,Gulabbagh,26.4167,87.25
854325,Garh Banaili,26.4167,87.25
854318,Forbesganj,24.9833,81.0583
854315,Baisi,24.9833,81.0583
854312,Araria R S,24.9833,81.0583
854311,Araria,24.9833,81.0583
854206,Sarsi,24.9833,81.0583
854205,Dhamdaha,24.9833,81.0583
854204,Rajdham,24.9833,81.0583
854202,Banmankhi,24.9833,81.0583
854201,Banaili,24.9833,81.0583
854116,Mahadeopur,24.9833,81.0583
854113,Manihari,24.9833,81.0583
854107,Katihar Mills,24.9833,81.0583
854106,Katihar Bmp Camp,24.9833,81.0583
854105,Katihar Colony,24.9833,81.0583
854102,Chopra Ram Nagar,24.9833,81.0583
853205,Saidpur Tola Goriar,24.9833,81.0583
853204,Naugachia,24.9833,81.0583
853203,Narayanpur,24.9833,81.0583
852235,Hardi (Saharsa),24.9833,81.0583
852233,Ganeshpur (Saharsa),24.9833,81.0583
852220,Udakishanganj,24.9833,81.0583
852217,Mangwar,24.9833,81.0583
852216,Mahisi,24.9833,81.0583
852215,Karzan Bazar,24.9833,81.0583
852214,Jadia,24.9833,81.0583
852213,Chausa (Saharsa),24.9833,81.0583
852212,Bangaon,24.9833,81.0583
852201,Saharsa Distt Bd,24.9833,81.0583
852159,Thumha,24.9833,81.0583
852139,Tribeniganj,24.9833,81.0583
852138,Tharbitta,24.9833,81.0583
852126,Salkhua Bazar,24.9833,81.0583
852124,Panhgachia,24.9833,81.0583
852123,Nauhatta,24.9833,81.0583
852113,Madhepura College,24.9833,81.0583
852111,Jiaram Raghopur,24.9833,81.0583
852110,Garh Baruai,24.9833,81.0583
852109,Ganpatganj,24.9833,81.0583
852108,Gamharia(Saharsa),24.9833,81.0583
852107,Dhabauli,24.9833,81.0583
851225,Parihara,24.9833,81.0583
851219,Balha,24.9833,81.0583
851217,Sahebpur Kamal,24.9833,81.0583
851216,Parbatta,24.9833,81.0583
851215,Nayagaon(Bhagalpur),24.9833,81.0583
851213,Maheshkhunt,24.9833,81.0583
851211,Lakhimnia,24.9833,81.0583
851203,Jamalpur Gogri,24.9833,81.0583
851201,Chautham,24.9833,81.0583
851134,Ulao,24.9833,81.0583
851133,Teghra,24.9833,81.0583
851131,Rajaura,24.9833,81.0583
851130,Naokothi,24.9833,81.0583
851126,Garhara,24.9833,81.0583
851122,Tilrath,24.9833,81.0583
851112,Barauni,24.9833,81.0583
851111,Bachwara,24.9833,81.0583
851101,G D College Road,24.9833,81.0583
848506,Baghra,25.55,88.6167
848504,Patory,25.55,88.6167
848302,Kalyanpur Chowk,25.55,88.6167
848239,Jhakhra (Samastipur),25.55,88.6167
848223,Desri (Samastipur),25.55,88.6167
848211,Narhan,25.55,88.6167
848208,Mangalgarh,25.55,88.6167
848205,Hasanpur Sugar Mills,25.55,88.6167
848204,Garhpura,25.55,88.6167
848203,Sakarpura,25.55,88.6167
848201,Bakhri Bazar,25.55,88.6167
848160,Lat Basepura,25.55,88.6167
848153,Chatauna (Samastipur),25.55,88.6167
848139,Chaita (Samastipur),25.55,88.6167
848134,Jitwarpur,25.55,88.6167
848133,Warisnagar,25.55,88.6167
848132,Ujairpur,25.55,88.6167
848131,Waini,25.55,88.6167
848130,Tajpur,25.55,88.6167
848127,Sarairanjan,25.55,88.6167
848124,Gangapur,23.8667,75.9833
848122,Madhepur Dighra,25.55,88.6167
848120,Chakradharpur Bazar,25.55,88.6167
848117,Ilmasnagar,25.55,88.6167
848114,Dalsingsarai H O,25.55,88.6167
848111,Akhtiarpur,25.55,88.6167
848109,Lagunia Raghukanth,25.55,88.6167
848102,Nauranga,25.55,88.6167
848101,Kashipur,25.55,88.6167
847451,Kanhauli Bazar,25.2917,88.5333
847424,Sarsopahi,25.2917,88.5333
847422,Manigachi,25.2917,88.5333
847421,Laukahi,25.2917,88.5333
847419,Parsa(Madhubani),25.2917,88.5333
847411,Haripur (Darbhanga),25.2917,88.5333
847410,Tamuria,25.2917,88.5333
847408,Madhepur,25.2917,88.5333
847407,Lohna Road,25.2917,88.5333
847406,Laukahi,25.2917,88.5333
847404,Jhanjharpur,25.2917,88.5333
847403,Jhanjharpur R S,25.2917,88.5333
847402,Ghoghardiha,25.2917,88.5333
847401,Andhra,25.2917,88.5333
847308,Saharghat,25.2917,88.5333
847305,Madhwarpur,25.2917,88.5333
847304,Kamtaul,25.2917,88.5333
847303,Jogiara,25.2917,88.5333
847301,Hayaghat Bilaspur,25.2917,88.5333
847255,Parwa,25.2917,88.5333
847239,Sakri,25.2917,88.5333
847236,Rampatti,25.2917,88.5333
847235,Rajnagar(Madhubani),25.2917,88.5333
847234,Pandaul,25.2917,88.5333
847232,Ladania,25.2917,88.5333
847231,Lohat,25.2917,88.5333
847226,Haubagar Bazar,25.2917,88.5333
847224,Babubarhi,25.2917,88.5333
847222,Arehat,25.2917,88.5333
847211,Madhubani H O,25.2917,88.5333
847201,Bahera(Madhubani),25.2917,88.5333
847121,Keotirunway,25.2917,88.5333
847106,Kansi Simri,25.2917,88.5333
847105,Baheri,25.2917,88.5333
847101,Anandpur,25.2917,88.5333
846007,Sara Mohanpur,25.2917,88.5333
846005,P Training C Darbhanga,25.2917,88.5333
846004,Darbhanga H O,25.2917,88.5333
846003,Darbhanga Medical College,25.2917,88.5333
846001,Banta South,25.2917,88.5333
845520,Olha Madhubani,25.2917,88.5333
845513,Rampur(Motihari),25.2917,88.5333
845492,Chapra Bahas,25.2917,88.5333
845485,Ajagari,25.2917,88.5333
845481,Turhapatti,25.2917,88.5333
845475,Parsa(Bettiah),25.2917,88.5333
845470,Jhakhra,25.2917,88.5333
845466,Bairia,25.2917,88.5333
845459,Jagdishpur Motihari,25.2917,88.5333
845458,Manguraha,25.2917,88.5333
845457,Patahi(Champaran),25.2917,88.5333
845455,Narkatiaganj,25.2917,88.5333
845454,Majhaulia R S,25.2917,88.5333
845453,Lauria,25.2917,88.5333
845452,Jogapatti,25.2917,88.5333
845449,Chanpatia,25.2917,88.5333
845440,Jaitpur Lankaria,25.2917,88.5333
845438,Nayatola Bettiah,25.2917,88.5333
845436,Tetaria Factory,25.2917,88.5333
845434,Sangrampur(Champaran),25.2917,88.5333
845433,Ramgarhwa,25.2917,88.5333
845432,Rajpur(Champaran),25.2917,88.5333
845431,Raghunathpur Bazar,25.2917,88.5333
845430,Phenhara,25.2917,88.5333
845428,Pakridayal,25.2917,88.5333
845427,Pachpakri,25.2917,88.5333
845425,Malahi,25.2917,88.5333
845423,Hussaini,25.2917,88.5333
845422,Harsidhi,25.2917,88.5333
845421,Hanuman Sugar Mills,25.2917,88.5333
845420,Telgu,25.2917,88.5333
845419,Gobindganj,25.2917,88.5333
845418,Dhaka,25.2917,88.5333
845417,Dariapur,25.2917,88.5333
845416,Damodarpur,25.2917,88.5333
845414,Chaita (Motihari),25.2917,88.5333
845413,Bakarpur Jagat,25.2917,88.5333
845412,Barachakia,25.2917,88.5333
845411,Areraj,25.2917,88.5333
845406,Rajepur Champaran,25.2917,88.5333
845401,Henry Bazar,25.2917,88.5333
845312,Chandanbara,25.2917,88.5333
845308,Haripur (Bettiah),25.2917,88.5333
845306,Mainatar,25.2917,88.5333
845304,Chainpur,25.2917,88.5333
845303,Ghorasahan,25.2917,88.5333
845302,Chauradano,25.2917,88.5333
845301,Adapur,25.2917,88.5333
845145,Chiraiya,25.2917,88.5333
845120,Telpur,25.2917,88.5333
845119,Tinpheria,25.2917,88.5333
845108,Bahera (Bettiah),25.2917,88.5333
845107,Vaimikinagar,25.2917,88.5333
845106,Ramnagan,25.2917,88.5333
845105,Naraipur,25.2917,88.5333
845104,Madhubani,25.2917,88.5333
845101,Bagaha,25.2917,88.5333
844509,Sahdei Buzrug,25.2917,88.5333
844508,Raghopur,25.2917,88.5333
844507,Mahnar Rd R S,25.2917,88.5333
844506,Mahnar,25.2917,88.5333
844505,Jhandaba,25.2917,88.5333
844504,Desri (Hajipur),25.2917,88.5333
844141,Tisiauta Dharampur,25.2917,88.5333
844131,Hansikewal,25.2917,88.5333
844128,Vaishali,25.2917,88.5333
844125,Sarai,25.2917,88.5333
844124,Rajapakar,25.2917,88.5333
844123,Parta Ptand,25.2917,88.5333
844122,Mahua,25.2917,88.5333
844121,Lalganj,25.2917,88.5333
844119,Ghataro,25.2917,88.5333
844118,Garaul,25.2917,88.5333
844117,Dharahara (Muzaffarpur),25.2917,88.5333
844115,Chaksikandar,25.2917,88.5333
844113,Balukaram,25.2917,88.5333
844112,Baghi,25.2917,88.5333
844111,Anirudh Belsar,25.2917,88.5333
844101,Hajipur H O,25.2917,88.5333
843362,Nayagaon(Sitamrhi),25.2917,88.5333
843361,Jamua (Sitamahi),25.2917,88.5333
843360,Jajuar,25.2917,88.5333
843356,Dhankaul,25.2917,88.5333
843342,Parshurampur(Sitamarhi),25.2917,88.5333
843333,Nanpur,25.2917,88.5333
